path,rows_sampled,ann,sharpe,mdd,split,target_frac,hold_frac,market_timing_mode,checkpoint,predictor,window,weight_mode,period,portfolio_value,execution_lag,min_adv_cny,adv_participation_cap,alpha_jsonl,rebalance_band,return_mode,dynamic_min_mult,strategy,model,source,reliability,scenario,transform,mode
backtest_results_v9_retention_20260531\avgw3_open_to_open_exec1m_dynamic_min_sweep_summary.csv,40,57.34911812209851,3.044144746492589,0.0990708079541132,test,0.03,0.5,dynamic,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,0.2,,,,,,,
backtest_results_v9_retention_20260531\avgw3_open_to_open_exec1m_market_mode_summary.csv,32,57.34911812209851,3.044144746492589,0.0990708079541132,test,0.03,0.5,dynamic,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_dynamic\open_execution_summary.csv,4,57.34911812209851,3.044144746492589,0.0990708079541132,,0.03,0.5,dynamic,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\raw_avgw3_rankblend_test_w75_25_open_to_open_exec1m_cap5_min20\yearly_summary.csv,12,82.40058237149796,3.0005920155399184,0.0839040462060016,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv,30,74.26654612341923,2.974906452950545,0.1192980994740193,test,0.15,0.5,legacy,checkpoints_exp_topfocus_w005_topic\ultimate_v7_best.pt,v9_raw_persistent_average_w3,3.0,equal,,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid_cost2x\v9_retention_summary.csv,3,81.16064548476358,2.9656122788473858,0.1332615830440424,test,0.03,0.4,legacy,checkpoints_exp_topfocus_w005_topic\ultimate_v7_best.pt,v9_raw_persistent_average_w3,3.0,equal,,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_dynamic_min0p30\open_execution_summary.csv,4,60.0436707276028,2.9471185845102847,0.1110708204017319,,0.03,0.5,dynamic,,,,,,1000000.0,0.0,20000000.0,0.05,F:\stock_prediction\deepseek_model_exp\backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_daily_alpha_top_order.jsonl,,open_to_open,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_close_exec1m_cap5_min20\yearly_summary.csv,9,68.19607948461397,2.8831508258891896,0.0789541965748818,,,,,,,,,2025,,,,,,,,,,,,,,,
backtest_results_test_plan_small_account_avgw3_test\yearly_summary.csv,6,80.55081246677436,2.881888195278949,0.0848971960439468,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\raw_test_target3_execution_cap5_adv20m_holdgrid\yearly_summary.csv,15,80.4896359027237,2.8800226682850893,0.0802730039318114,,,,,,,,,2026,,,,,,,,,,,,,,,
