path,ann,sharpe,mdd,split,model,strategy,scenario,transform,portfolio_value,target_frac,hold_frac,return_mode,execution_lag,market_timing_mode,dynamic_min_mult,min_adv_cny,adv_participation_cap,rebalance_band,predictor,weight_mode,reliability
backtest_results_exp_consensus_geo_test\ledger\execution_constraint_sweep_summary.csv,56.65138269100862,2.262572936394214,0.1278791949252919,,,,,,1000000.0,0.01,0.06,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_consensus_geo_test\ledger\top_by_sharpe.csv,56.65138269100862,2.262572936394214,0.1278791949252919,,,,,,1000000.0,0.01,0.06,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_blend_raw75_avg25_test\ledger\execution_constraint_sweep_summary.csv,62.72966314916331,2.242853431006586,0.1260346022712298,,,,,,500000.0,0.004,0.06,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_blend_raw75_avg25_test\ledger\top_by_sharpe.csv,62.72966314916331,2.242853431006586,0.1260346022712298,,,,,,500000.0,0.004,0.06,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_test_plan_small_account_raw_test\execution_constraint_sweep_summary.csv,58.09980430123025,2.2388883323196507,0.1315132495325625,,,,,,500000.0,0.03,0.3,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_test_plan_small_account_raw_test\top_by_sharpe.csv,58.09980430123025,2.2388883323196507,0.1315132495325625,,,,,,500000.0,0.03,0.3,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_v9_retention_20260531\raw_avgw3_rankblend_test_w75_25_open_to_open_exec1m_cap5_min20\open_execution_summary.csv,58.21163127144573,2.2173589304463435,0.1701863246782545,,,,,,1000000.0,0.03,0.6,open_to_open,0.0,legacy,,20000000.0,0.05,,,,
reranker_confirmation_20260615\regression_v3\summary.csv,45.907653496490354,2.2020594219513505,0.1150765669267785,,v3,,lag1,,1000000.0,0.006,0.1,,1.0,legacy,,,,0.2,,,
backtest_result_snapshots\20260531_temporal_market_timing_summary.csv,48.73162521788386,2.161032194272129,0.125810499648305,test,,,,,,0.3,0.8,,,legacy,,,,,,,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_longonly_test_market_legacy_t30h80\temporal_retention_summary.csv,48.73162521788386,2.161032194272129,0.125810499648305,,,,,,,0.3,0.8,,,legacy,,,,,,equal,
backtest_results_exp_rebalance_band10_pv1m_test\execution_constraint_sweep_summary.csv,55.57668758198777,2.160744494116142,0.1221351754570749,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,0.1,,,
backtest_results_exp_rebalance_band10_pv1m_test\top_by_sharpe.csv,55.57668758198777,2.160744494116142,0.1221351754570749,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,0.1,,,
backtest_results_exp_rebalance_band20_test\execution_constraint_sweep_summary.csv,55.42115684158515,2.158572741971922,0.1213986000406924,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,0.2,,,
backtest_results_exp_rebalance_band20_test\top_by_sharpe.csv,55.42115684158515,2.158572741971922,0.1213986000406924,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,0.2,,,
backtest_results_v9_retention_20260531\v9v10_rankens_test_w25_75_exec100m_cap5_min20\execution_constrained_summary.csv,52.35649679720422,2.1582494666983374,0.1271529365065061,,,,,,100000000.0,0.03,0.4,,,legacy,,20000000.0,0.05,,,,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_longonly_test_market_legacy_one\temporal_retention_summary.csv,49.59328430444745,2.154128597602289,0.133001906332632,,,,,,,0.2,0.8,,,legacy,,,,,,equal,
reranker_confirmation_20260615\gated_v4\summary.csv,50.21127404141004,2.147359909859506,0.1075872058392278,,v4,,lag1,,1000000.0,0.006,0.1,,1.0,legacy,,,,0.2,,,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_longonly_test_market_legacy_hold90\temporal_retention_summary.csv,48.52713231817189,2.144597062683258,0.1343939864446833,,,,,,,0.2,0.9,,,legacy,,,,,,equal,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_longonly_h128_t64_n3000_test_best\temporal_retention_summary.csv,60.454658664858016,2.131386201619377,0.159791398855774,,,,,,,0.3,0.8,,,,,,,,,equal,
backtest_results_v9_retention_20260531\topfocus_raw_val_legacy_target3\v9_retention_summary.csv,109.50415596534675,2.127670708915381,0.1580722651316241,val,,,,,,0.03,0.25,,,legacy,,,,,v9_raw,equal,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_seed5590_5591_rankens_test_legacy\temporal_retention_summary.csv,45.22780609902806,2.1174996439140465,0.1256958743428565,,,,,,,0.3,0.9,,,legacy,,,,,,equal,
backtest_results_test_plan_share_ledger_primary_test\execution_constraint_sweep_summary.csv,54.25499101446971,2.1130553240810874,0.121969467263453,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_test_plan_share_ledger_primary_test\top_by_sharpe.csv,54.25499101446971,2.1130553240810874,0.121969467263453,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,,,,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_longonly_test_market_dynamic_t30h80\temporal_retention_summary.csv,32.185580641243085,2.042291355104788,0.0866883114495962,,,,,,,0.3,0.8,,,dynamic,,,,,,equal,
backtest_results_test_plan_v9_raw_val\v9_retention_summary.csv,102.11263612837855,2.0408934474072136,0.1568546555040399,val,,,,,,0.03,0.3,,,legacy,,,,,v9_raw,equal,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_seed5591_test_legacy_t20t30\temporal_retention_summary.csv,43.98991956291667,2.040498242678952,0.1251339710632577,,,,,,,0.2,0.8,,,legacy,,,,,,equal,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_longonly_test_market_dynamic_one\temporal_retention_summary.csv,32.8089514774913,2.038950275424449,0.0922842894391763,,,,,,,0.2,0.8,,,dynamic,,,,,,equal,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_longonly_test_market_dynamic_hold90\temporal_retention_summary.csv,32.29235687707277,2.030319915345689,0.0938119102017699,,,,,,,0.2,0.9,,,dynamic,,,,,,equal,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_seed5592_test_legacy_t20t30\temporal_retention_summary.csv,41.302333371234056,2.022766651605765,0.1178163945930752,,,,,,,0.2,0.8,,,legacy,,,,,,equal,
_archive_results_20260604\backtest_results_temporal_retention_20260531\h3h5h7_seed5591_test_extreme_hold\temporal_retention_summary.csv,54.301294245139765,2.00225382445281,0.1580182881948856,,,,,,,0.2,0.8,,,none,,,,,,equal,
backtest_results_topstable_epoch9_val_avgw3\v9_retention_summary.csv,89.76775790778946,1.9462683096753155,0.1931250579676212,val,,,,,,0.006,0.1,,,legacy,,,,,v9_raw_persistent_average_w3,equal,
backtest_results_v9_retention_20260531\topfocus_raw_val_legacy_target3_cost2x\v9_retention_summary.csv,94.09830879350618,1.9274578253024404,0.1595205631599628,val,,,,,,0.03,0.25,,,legacy,,,,,v9_raw,equal,
backtest_results_exp_legacy_bear40_test\execution_constraint_sweep_summary.csv,36.10544392658253,1.8269357121718104,0.0951638328446254,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_legacy_bear40_test\top_by_sharpe.csv,36.10544392658253,1.8269357121718104,0.0951638328446254,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_test_plan_share_ledger_avgw3_test\execution_constraint_sweep_summary.csv,49.39285619891085,1.825438050920928,0.1345830483960577,,,,,,1000000.0,0.004,0.06,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_test_plan_share_ledger_avgw3_test\top_by_sharpe.csv,49.39285619891085,1.825438050920928,0.1345830483960577,,,,,,1000000.0,0.004,0.06,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_legacy_bear40_val\execution_constraint_sweep_summary.csv,58.72294039809793,1.669265873518801,0.1226659924369304,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_legacy_bear40_val\top_by_sharpe.csv,58.72294039809793,1.669265873518801,0.1226659924369304,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_legacy_bear50_val\execution_constraint_sweep_summary.csv,57.65823733347351,1.6289603543498496,0.1343105602970644,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_legacy_bear50_val\top_by_sharpe.csv,57.65823733347351,1.6289603543498496,0.1343105602970644,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,,,,
candidate_model_validation_20260614\candidate_validation_summary.csv,59.55837875315066,1.6247412948091071,0.1552243462277643,,frozen_v9,,base,maxret095,500000.0,0.006,0.1,,0.0,legacy,,,,0.2,,,
lag1_checkpoint_sweep_m0_20260616\candidate_validation_summary.csv,59.55837875315066,1.6247412948091071,0.1552243462277643,,frozen_v9,,base,maxret095,500000.0,0.006,0.1,,0.0,legacy,,,,0.2,,,
loss_ablation_portfolio_validation_20260614\candidate_validation_summary.csv,59.55837875315066,1.6247412948091071,0.1552243462277643,,frozen_v9,,base,maxret095,500000.0,0.006,0.1,,0.0,legacy,,,,0.2,,,
multi_loss_validation_20260614\portfolio\candidate_validation_summary.csv,59.55837875315066,1.6247412948091071,0.1552243462277643,,frozen_v9,,base,maxret095,500000.0,0.006,0.1,,0.0,legacy,,,,0.2,,,
backtest_results_exp_topic_pairwise_blend_80_val\ledger\execution_constraint_sweep_summary.csv,57.26544670704261,1.614919508061945,0.157695135982996,,,,,,500000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,0.2,,,
backtest_results_exp_topic_pairwise_blend_80_val\ledger\top_by_sharpe.csv,57.26544670704261,1.614919508061945,0.157695135982996,,,,,,500000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,0.2,,,
backtest_results_exp_blend_raw75_avg25_val\ledger\execution_constraint_sweep_summary.csv,60.75211126099956,1.6144537685760856,0.2172769844061472,,,,,,1000000.0,0.004,0.06,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_blend_raw75_avg25_val\ledger\top_by_sharpe.csv,60.75211126099956,1.6144537685760856,0.2172769844061472,,,,,,1000000.0,0.004,0.06,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_rebalance_band_val\execution_constraint_sweep_summary.csv,58.975929357128855,1.598253260184895,0.1513370608619545,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,0.1,,,
backtest_results_exp_rebalance_band_val\top_by_sharpe.csv,58.975929357128855,1.598253260184895,0.1513370608619545,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,0.1,,,
backtest_results_exp_band20_mintrade_val\execution_constraint_sweep_summary.csv,58.805272036261,1.598177513169787,0.1546072455442367,,,,,,1000000.0,0.006,0.1,,0.0,legacy,,3000000.0,0.05,0.2,,,
