candidate,split,stress,capital,ann,sharpe,mdd,exec_to,blocked_buy
negfilter_drop3,test,cost2x,50w,75.63452149253769,2.7203024607778032,0.1429551987110958,0.2954457826769,2
official,test,cost2x,50w,72.91171824130112,2.6553767036959166,0.1461186455769947,0.2954805197227043,2
breadth_m085,test,cost2x,100w,75.25909983025367,2.598137828470769,0.1544823465684121,0.3079611113090404,2
edge_r030_100,test,cost2x,100w,75.8267634145132,2.5863794101095325,0.154970877002375,0.3105180794094013,2
negfilter_drop3,test,cost2x,100w,78.53240740367282,2.633648912716612,0.1575484934164852,0.3101289036103983,2
official,test,cost2x,100w,75.81024729256671,2.5856409800339235,0.154970877002375,0.3101282719907909,2
breadth_m085,forward,normal,50w,-55.24900303424937,-2.7112309268549364,0.103141447423365,0.3091584170507495,0
edge_r030_100,forward,normal,50w,-61.02951132883173,-2.9968526173365566,0.1123186026471269,0.3128802566280618,0
negfilter_drop3,forward,normal,50w,-60.63544416242748,-2.976175321273525,0.1115883057413049,0.3128401539930736,0
official,forward,normal,50w,-61.02951132883173,-2.9968526173365566,0.1123186026471269,0.3128802566280618,0
risk_target_r004,forward,normal,50w,-54.11266114393503,-2.384433524333219,0.1090740041280506,0.3082982946971161,0
breadth_m085,forward,normal,100w,-45.02572958109078,-1.6745262957152325,0.1071414190546912,0.3625140260156342,0
edge_r030_100,forward,normal,100w,-51.21965935087576,-1.9182507776579476,0.1178160908063269,0.3673817270063767,0
negfilter_drop3,forward,normal,100w,-53.06033550451794,-2.086040471627754,0.1178160908063269,0.3668190034730311,0
official,forward,normal,100w,-52.2484932088126,-2.016943228751758,0.1178160908063269,0.3674446302138306,0
risk_target_r004,forward,normal,100w,-39.04833990286384,-1.2706783489360516,0.1141002791362674,0.3681832498717418,0
breadth_m085,forward,lag1,50w,-64.32526601296138,-3.388218880587137,0.1069374803671968,0.2958325785265837,1
edge_r030_100,forward,lag1,50w,-70.43263018946554,-3.819275194196022,0.11876294813687,0.3103696684083293,1
negfilter_drop3,forward,lag1,50w,-70.85988388602426,-3.867718910709388,0.1197706514342789,0.3100827443015842,1
official,forward,lag1,50w,-70.43263018946554,-3.819275194196022,0.11876294813687,0.3103696684083293,1
breadth_m085,forward,lag1,100w,-55.19774450730169,-2.259078646733893,0.1022079429696554,0.3487368828737081,1
