mode,month,days,sum_return,mean_return
dynamic_m50,2024-04,20,0.04663846991052241,0.0023319234955261206
dynamic_m50,2024-05,20,-0.0037779523944591886,-0.00018889761972295944
dynamic_m50,2024-06,19,-0.0668076438817527,-0.003516191783250142
dynamic_m50,2024-07,23,0.019247388256605203,0.0008368429676784871
dynamic_m50,2024-08,22,-0.04482853795846271,-0.0020376608162937593
dynamic_m50,2024-09,19,0.11325069816935229,0.005960563061544857
dynamic_m50,2024-10,18,0.07534163047843892,0.004185646137691051
dynamic_m50,2024-11,21,0.10616276398310057,0.00505536971348098
dynamic_m50,2024-12,22,-0.030842373604458996,-0.0014019260729299543
dynamic_m50,2025-01,18,0.0058140981329509005,0.0003230054518306056
dynamic_m50,2025-02,18,0.08022955709380669,0.004457197616322594
dynamic_m50,2025-03,21,0.020327937986266607,0.0009679970469650765
dynamic_m50,2025-04,21,0.02463599594723128,0.0011731426641538704
dynamic_m50,2025-05,19,0.0340283350734988,0.0017909650038683577
dynamic_m50,2025-06,20,0.054549614994667504,0.0027274807497333752
dynamic_m50,2025-07,23,0.07639166312080979,0.0033213766574265126
dynamic_m50,2025-08,21,0.0719418218646634,0.0034258010411744476
dynamic_m50,2025-09,22,-0.0006707571015433023,-3.0488959161059195e-05
dynamic_m50,2025-10,17,0.0367916490990096,0.0021642146528829177
dynamic_m50,2025-11,20,0.0013133719753076999,6.566859876538499e-05
dynamic_m50,2025-12,23,0.006694259590237098,0.0002910547647929173
dynamic_m50,2026-01,20,0.07795701842403438,0.003897850921201719
dynamic_m50,2026-02,14,0.032988072108063,0.0023562908648616433
dynamic_m50,2026-03,22,-0.047991292223039,-0.0021814223737745
dynamic_m50,2026-04,21,0.0827837799441971,0.003942084759247481
dynamic_m50,2026-05,4,0.0703546871847021,0.017588671796175525
legacy,2023-02,5,0.0037805535309444003,0.0007561107061888801
legacy,2023-03,23,-0.011229725564062912,-0.0004882489375679527
legacy,2023-04,19,0.021029965860989985,0.0011068403084731572
legacy,2023-05,20,0.0110976457807959,0.000554882289039795
legacy,2023-06,20,-0.007662837991184123,-0.00038314189955920613
legacy,2023-07,21,0.023871768228258476,0.0011367508680123085
legacy,2023-08,23,-0.05671502155989369,-0.0024658705026040736
legacy,2023-09,20,-0.0011919547447153218,-5.959773723576609e-05
legacy,2023-10,17,-0.020336325822877404,-0.0011962544601692591
legacy,2023-11,22,0.020555294887807062,0.0009343315858094119
legacy,2023-12,21,-0.002475152250915301,-0.00011786439290072863
legacy,2024-01,22,-0.04925411343772414,-0.00223882333807837
legacy,2024-02,15,0.0637790990158491,0.00425193993438994
legacy,2024-03,21,0.11381543837614233,0.0054197827798163015
legacy,2024-04,20,0.0548846748789389,0.0027442337439469453
legacy,2024-05,20,-0.0042233527848058935,-0.00021116763924029468
legacy,2024-06,19,-0.07547806015062809,-0.003972529481612005
legacy,2024-07,23,0.0209282936693705,0.0009099258117117609
legacy,2024-08,22,-0.04854357786940181,-0.0022065262667909915
legacy,2024-09,19,0.11606268372419089,0.006108562301273205
legacy,2024-10,18,0.0836258081808881,0.004645878232271561
legacy,2024-11,21,0.11990657163082809,0.005709836744325147
legacy,2024-12,22,-0.03271206930641139,-0.0014869122412005178
legacy,2025-01,18,0.0068136191047615,0.0003785343947089722
legacy,2025-02,18,0.08737307191959981,0.0048540595510888785
legacy,2025-03,21,0.01933767492710959,0.0009208416631956947
legacy,2025-04,21,0.036421613180422,0.0017343625324010477
legacy,2025-05,19,0.040246127697257,0.002118217247224053
legacy,2025-06,20,0.05788374907569581,0.0028941874537847904
legacy,2025-07,23,0.0835275226978864,0.0036316314216472347
legacy,2025-08,21,0.0794178477024413,0.003781802271544824
legacy,2025-09,22,-0.0010028056470835957,-4.558207486743617e-05
legacy,2025-10,17,0.04232355659324,0.002489620976072941
legacy,2025-11,20,0.0025208942811103035,0.00012604471405551517
legacy,2025-12,23,0.004633895137017105,0.00020147370160943936
legacy,2026-01,20,0.0859137837056797,0.004295689185283985
legacy,2026-02,14,0.038570842899026694,0.002755060207073335
legacy,2026-03,22,-0.0549071015264691,-0.0024957773421122316
legacy,2026-04,21,0.09076278574957071,0.004322037416646224
legacy,2026-05,4,0.07595976750034439,0.018989941875086097
