name,kind,class,action,target,reason
backtest_results_test_plan_share_ledger_stress_2x,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_share_ledger_stress_3x,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_share_ledger_stress_lag1,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_small_account_avgw3_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_small_account_avgw3_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_small_account_lots_avgw3_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_small_account_raw_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_small_account_raw_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_stress_2x_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_stress_3x_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_stress_lag1_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_v9_avgw3_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_v9_avgw3_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_v9_raw_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_v9_raw_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_v9_smoke5,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_topstable_epoch9_val_avgw3,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_v9_retention_20260531,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
breadth_triggered_market_20260617,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
breadth_triggered_target_20260617,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
cache,dir,archive_or_cache,protect,,"active source, official baseline, or forward-observation dependency"
candidate_model_validation_20260614,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
CANDIDATE_MODEL_VALIDATION_PLAN_20260614.md,file,source_or_docs,review,,manual review before any move
checkpoints,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_batch4_benchmark_20260613,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_batch8_benchmark_20260613,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_exp,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_exp_pairwise_w003_20260530_011759,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_exp_purged_rawmetric_A_20260613,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_exp_top06_stable_20260612,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_exp_topfocus,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_exp_topfocus_w005_pairwise_w001_20260530_053300,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_exp_topfocus_w005_topic,dir,checkpoint_or_model,protect,,"active source, official baseline, or forward-observation dependency"
checkpoints_exp_topfocus_w005_topret,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_A0,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_A0_low_lr_e10,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_A1,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_A2,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_A3,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_A4,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_A4_low_lr_e10,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_A5,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_D001,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_D003,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_D003_T001,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_D005,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_LAG005,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_LAG010,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_loss_ablation_M0_nomulti,dir,checkpoint_or_model,protect,,"active source, official baseline, or forward-observation dependency"
checkpoints_loss_ablation_M1_nomulti_topfocus_w005,dir,checkpoint_or_model,protect,,"active source, official baseline, or forward-observation dependency"
checkpoints_loss_ablation_T001,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_reranker_oof_F1_train2017_val2018,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_reranker_oof_F2_train2018_val2019,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_reranker_oof_F3_train2019_val2020,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_reranker_oof_F4_train2020_val2021,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_reranker_oof_F5_train2021_val2022,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_reranker_oof_F6_train2022_val2023,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
checkpoints_smoke_rawmetrics_20260613,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
CLAUDE.md,file,source_or_docs,review,,manual review before any move
conditional_negfilter_breadth_20260618,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
configs,dir,source_or_docs,protect,,"active source, official baseline, or forward-observation dependency"
core,dir,source_or_docs,protect,,"active source, official baseline, or forward-observation dependency"
data,dir,source_or_docs,protect,,"active source, official baseline, or forward-observation dependency"
diagnostics_negfilter_drop3_20260617,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
downside_topfocus_validation_20260616,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
experiments,dir,source_or_docs,protect,,"active source, official baseline, or forward-observation dependency"
EXPERIMENTS.md,file,source_or_docs,review,,manual review before any move
forward_results,dir,experiment_output,protect,,"active source, official baseline, or forward-observation dependency"
FORWARD_TEST_LOG.md,file,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
FROZEN_FORWARD_STRATEGY.md,file,source_or_docs,review,,manual review before any move
lag1_checkpoint_sweep_m0_20260616,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
locked_candidate_confirmation_20260614,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
LOSS_ABLATION_PLAN.md,file,source_or_docs,review,,manual review before any move
loss_ablation_portfolio_validation_20260614,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
m0_topfocus_validation_20260614,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
models_multi_v9_tech_macro,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
multi_loss_validation_20260614,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
open_reranker_current_v9_20260617,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
open_reranker_current_v9_edge_20260617,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
open_reranker_current_v9_forward_20260617,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
open_reranker_current_v9_light_20260617,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
open_reranker_current_v9_market_switch_20260617,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
open_reranker_current_v9_negfilter_20260617,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
PURGED_ALPHA_OPTIMIZATION_PLAN.md,file,source_or_docs,review,,manual review before any move
README.md,file,source_or_docs,review,,manual review before any move
reports,dir,source_or_docs,protect,,"active source, official baseline, or forward-observation dependency"
requirements.txt,file,source_or_docs,review,,manual review before any move
reranker_confirmation_20260615,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
reranker_data_20260614,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
RERANKER_IMPLEMENTATION_PLAN_20260614.md,file,source_or_docs,review,,manual review before any move
reranker_models_20260615,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
reranker_oof_20260614,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
reranker_training_20260615,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
reranker_v2_data_20260615,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
reranker_v3_data_20260615,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
RERANKER_V4_PLAN_20260615.md,file,source_or_docs,review,,manual review before any move
reranker_validation_20260615,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
rerun_v9_avgw3_open_to_open_20260616,dir,misc,review,,manual review before any move
RESEARCH_PROTOCOL.md,file,source_or_docs,review,,manual review before any move
resume_downside_topfocus_remaining_20260616.ps1,file,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
run,dir,source_or_docs,protect,,"active source, official baseline, or forward-observation dependency"
run_forward_observation_candidates_20260617.ps1,file,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
run_lag1_loss_ablation_after_sweep_20260616.ps1,file,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
run_unified_good_ops_validation_20260616.ps1,file,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
scripts,dir,source_or_docs,protect,,"active source, official baseline, or forward-observation dependency"
SHARPE_OPTIMIZATION_REPORT.md,file,source_or_docs,review,,manual review before any move
state_triggered_target_20260617,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
switch_value_data_20260604_top3_pv1m_raw,dir,misc,review,,manual review before any move
switch_value_models_20260604_top3_pv1m_raw_lgb_h5,dir,checkpoint_or_model,archive_candidate,archive/checkpoints_202606,classified as checkpoint_or_model
TEST_PLAN.md,file,source_or_docs,review,,manual review before any move
tests,dir,source_or_docs,protect,,"active source, official baseline, or forward-observation dependency"
unified_good_ops_validation_20260616,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
v9_avgw3_extend_to_20260518_20260616,dir,experiment_output,protect,,"active source, official baseline, or forward-observation dependency"
v9_avgw3_filter095_validation_20260616,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
v9_avgw3_open_ledger_20260616,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
v9_avgw3_open_ledger_20260617,dir,experiment_output,protect,,"active source, official baseline, or forward-observation dependency"
validate_downside_topfocus_candidates_20260616.ps1,file,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
validate_m0_epoch_lag1_sweep_20260616.ps1,file,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
