model,strategy,target_frac,hold_frac,market,split,ann,sharpe,mdd,avg_turnover,avg_holding_days,total_cost,reliability,source
V9 topfocus average_w3,retention target0.250/hold0.600,0.25,0.6,legacy,test,66.24060206788182,2.794051209787903,0.1152292239590247,0.1334893759442569,15.341448405830546,0.0359456442872852,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.700,0.15,0.7,legacy,test,68.699667981054,2.7771843399716047,0.1282190752395146,0.1013229653897926,21.19015144805597,0.0272237220654422,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.300/hold0.600,0.3,0.6,legacy,test,63.778228153312334,2.738813242404671,0.1146520783838667,0.1358107189261476,15.037730514278534,0.0365750764368249,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.300/hold0.500,0.3,0.5,legacy,test,63.78116640953564,2.7332598670469834,0.116851315522709,0.1771399003192781,11.185875864647596,0.0477814839715722,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.200/hold0.700,0.2,0.7,legacy,test,65.0872259856303,2.7081883047587167,0.1239182969861554,0.1014376727510451,21.15240304938681,0.0272548249664458,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.300/hold0.700,0.3,0.7,legacy,test,62.95708839505541,2.707955409733806,0.1165261812543398,0.1034865706198704,20.59132754022197,0.0278103836235778,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.800,0.15,0.8,legacy,test,66.62907345979494,2.7032763035535714,0.1310825238331645,0.0775020208499308,29.46890011085109,0.0207646729534587,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.250/hold0.700,0.25,0.7,legacy,test,63.67113827458444,2.702717038535582,0.1188128002597829,0.1018780809843504,20.99436842105263,0.0273742416589066,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.800,0.1,0.8,legacy,test,68.36154727048358,2.694139628134556,0.1414936837849023,0.0783703710809727,29.091589126071884,0.0210001261186057,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.200/hold0.800,0.2,0.8,legacy,test,64.21658938833215,2.665402916267107,0.127911676236104,0.0771783693496002,29.618861969739164,0.0206769148491441,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
