strategy,signal_top_pct,run_top_frac,variant,mode,ann_raw,sharpe_raw,mdd_raw,ann_neu,sharpe_neu,mdd_neu,avg_universe,avg_long_count,avg_short_count,avg_long_pct,avg_short_pct
avg_score,0.1,0.02,long_top_2pct,optimizer_projected_long_long_top_2pct,26.112360939720514,1.1777097130347,0.22090073648250658,19.85254768484179,1.2439382791772267,0.13289879195987206,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.02,long_top_2pct,optimizer_mvo_long_ra0p1_long_top_2pct,22.982196082642513,1.1660246829595018,0.19771948966337186,16.457743052063535,1.1976296386237097,0.13050603965150506,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.01,long_top_1pct,simple_long_long_top_1pct,24.062149493112315,1.0868217137439669,0.218749030654509,17.265694655990906,1.0839827087438918,0.1425174236457519,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.01,long_top_1pct,optimizer_projected_long_long_top_1pct,24.709717458603265,1.1511350504386142,0.21404860332758985,18.31993224995532,1.1830939701237813,0.1427225062590919,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.01,long_top_1pct,optimizer_mvo_long_ra0p1_long_top_1pct,21.284274921996204,1.1121426232144314,0.1712884143233537,14.982300138443705,1.098771825631883,0.110446501930695,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
top_union_bottom_intersection,0.1,0.1,long_top_10pct,simple_long_long_top_10pct,30.124478595569883,1.299538153075553,0.18721638469037533,23.596382921195904,1.4584177353557184,0.13112763804180835,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.1,long_top_10pct,optimizer_projected_long_long_top_10pct,30.16036392407826,1.336418791345979,0.18485387439387904,24.040122923364393,1.5107611375202192,0.12905304437119972,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.1,long_top_10pct,optimizer_mvo_long_ra0p1_long_top_10pct,27.845628092344565,1.2759967718012668,0.1770057253557714,21.491091934981487,1.4119960106910523,0.13057557868546554,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.05,long_top_5pct,simple_long_long_top_5pct,29.642752291084705,1.271687460289967,0.20192519977424334,23.365514933401844,1.4116654252270975,0.13604042973169156,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.05,long_top_5pct,optimizer_projected_long_long_top_5pct,30.291215214336063,1.3326383260382293,0.20214503964104605,24.32240095244682,1.4952094426575393,0.1327522201580347,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.05,long_top_5pct,optimizer_mvo_long_ra0p1_long_top_5pct,26.03909812116909,1.2219655240302236,0.1856807496005927,19.94316295245444,1.3348553160597862,0.13400524597250574,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.03,long_top_3pct,simple_long_long_top_3pct,28.437400700485217,1.2196444982181955,0.21921072364973504,22.128442166090267,1.3287832829763537,0.1285592239300729,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.03,long_top_3pct,optimizer_projected_long_long_top_3pct,29.130482999588114,1.2839755213688944,0.21669337789124365,23.202233590966472,1.4251305319882133,0.12405433957070428,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.03,long_top_3pct,optimizer_mvo_long_ra0p1_long_top_3pct,24.423840987036606,1.178944511043366,0.19424440022168937,18.247137092569577,1.2663045701559315,0.1232548138926897,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.02,long_top_2pct,simple_long_long_top_2pct,26.82400253528232,1.1734868293431433,0.21887109050739662,20.594058669189288,1.248671183093421,0.12675539067872454,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.02,long_top_2pct,optimizer_projected_long_long_top_2pct,27.647881067919002,1.2465245959442077,0.21945541424399065,21.669341412274434,1.3496201225137439,0.12499635318984106,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.02,long_top_2pct,optimizer_mvo_long_ra0p1_long_top_2pct,24.219425688671613,1.2076133126558433,0.19401740990438468,17.913606688640705,1.2757875899286801,0.11917428214928012,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.01,long_top_1pct,simple_long_long_top_1pct,22.090981036297297,1.025678350900315,0.21552980213141124,15.681750763536662,1.0043390485422603,0.14331494199174835,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.01,long_top_1pct,optimizer_projected_long_long_top_1pct,21.729504476582285,1.0469875286770638,0.21694424098313037,15.71561448484009,1.0396165276074025,0.14227032600559977,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
top_union_bottom_intersection,0.1,0.01,long_top_1pct,optimizer_mvo_long_ra0p1_long_top_1pct,19.439018263928396,1.0342992180096404,0.17386651132824638,13.418368559657413,0.9985041427497438,0.12395946301521939,4935.212903225806,764.8645161290323,345.05806451612904,0.15494501208253006,0.06992555243280706
