split,portfolio_value,ann,sharpe,mdd,avg_turnover,blocked_buy,blocked_sell,candidate,role,scenario
val,1000000.0,48.86654392811221,1.2412911602982222,0.2206701368150049,0.2793357908582249,10.0,6.0,edge_r030_100,first_stability_candidate,lag1
val,1000000.0,48.93302361278798,1.2425179682808294,0.2204908628278226,0.279338605123182,10.0,6.0,edge_r030_120,stability_watch_candidate,lag1
val,1000000.0,47.36102391034744,1.2153361815311825,0.2289469324978316,0.2793126379905829,10.0,6.0,main_candidate,official_baseline,lag1
val,1000000.0,47.86002065168376,1.2247795239471366,0.2279009976699925,0.2792183403887977,10.0,6.0,market_switch,conservative_watch_candidate,lag1
val,1000000.0,49.74486457148275,1.2556278165305084,0.2198493179967587,0.2792944377636367,10.0,6.0,negfilter_r030_100_drop3,first_attack_candidate,lag1
test,500000.0,84.29766805359864,2.953289272261693,0.1428330056057641,0.2962930263551286,2.0,4.0,edge_r030_100,first_stability_candidate,normal
test,500000.0,84.26789691447225,2.952791983144232,0.1428330056057641,0.2963796563265225,2.0,4.0,edge_r030_120,stability_watch_candidate,normal
test,500000.0,84.32628818115226,2.9541700752329327,0.1428330056057641,0.2962434245544949,2.0,4.0,main_candidate,official_baseline,normal
test,500000.0,84.32628818115226,2.9541700752329327,0.1428330056057641,0.2962434245544949,2.0,4.0,market_switch,conservative_watch_candidate,normal
test,500000.0,87.0340291006972,3.009446578594989,0.1394303900899012,0.2966879942202245,2.0,4.0,negfilter_r030_100_drop3,first_attack_candidate,normal
test,1000000.0,88.2143893873107,2.8869158868909324,0.1523578328499969,0.3107846644720944,2.0,4.0,edge_r030_100,first_stability_candidate,normal
test,1000000.0,87.56441861266195,2.8726504116423834,0.1523578328499969,0.3103877514367616,2.0,4.0,edge_r030_120,stability_watch_candidate,normal
test,1000000.0,88.22945754729214,2.8877703152082788,0.1523578328499969,0.3107518687320758,2.0,4.0,main_candidate,official_baseline,normal
test,1000000.0,88.22945754729214,2.8877703152082788,0.1523578328499969,0.3107518687320758,2.0,4.0,market_switch,conservative_watch_candidate,normal
test,1000000.0,91.0811882768413,2.926839827818054,0.1553791091888499,0.311027673790578,2.0,4.0,negfilter_r030_100_drop3,first_attack_candidate,normal
val,500000.0,80.88810949768242,1.7885939953544858,0.2067445039563865,0.2733505984837054,7.0,4.0,edge_r030_100,first_stability_candidate,normal
val,500000.0,81.90533751325191,1.8050134863876532,0.2024645291585729,0.2733691803638092,7.0,4.0,edge_r030_120,stability_watch_candidate,normal
val,500000.0,79.79347902186498,1.7714430518751163,0.2106653179554184,0.2734056199199975,7.0,4.0,main_candidate,official_baseline,normal
val,500000.0,80.48384631322834,1.7813342635493938,0.209185692384928,0.2734866271225624,7.0,4.0,market_switch,conservative_watch_candidate,normal
val,500000.0,80.50681992810044,1.7772190262376235,0.210505997657236,0.2735471485921947,7.0,5.0,negfilter_r030_100_drop3,first_attack_candidate,normal
val,1000000.0,84.78097724471337,1.817719986059306,0.2035789514461395,0.2804727378531288,7.0,4.0,edge_r030_100,first_stability_candidate,normal
val,1000000.0,84.94646083504843,1.8206129955039256,0.2025409311322136,0.2805919008350456,7.0,4.0,edge_r030_120,stability_watch_candidate,normal
val,1000000.0,84.85079367334664,1.8169538762133024,0.2079180057801714,0.2803185913638777,7.0,4.0,main_candidate,official_baseline,normal
val,1000000.0,85.22216771197557,1.8221514922206807,0.2079005214624452,0.2804053774204735,7.0,4.0,market_switch,conservative_watch_candidate,normal
val,1000000.0,84.8720306771245,1.81234118181932,0.21086237404379,0.2803121889214577,7.0,5.0,negfilter_r030_100_drop3,first_attack_candidate,normal
